name,company,location,average_salary
Tro Ly Phong Kinh Doanh (Luong 20-25Tr),CONG TY TNHH TIN BAO LAN,TP HCM,22.5
[MM Depot Phu Quoc] Nhan Vien Nhan Hang - Soan Hang,CONG TY TNHH MM MEGA MARKET VIET NAM,Kien Giang,5.75
Chuyen Vien Kinh Doanh Kenh Thanh Thi,PRUVenture With PRUDENTIAL,Da Nang,27.5
Tho Dien Nuoc Tai He Thong FPT SHOP Ha Noi,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,11.5
Pho Cua Hang Tien Loi B's Mart,CONG TY TNHH MM MEGA MARKET VIET NAM,TP HCM,7.0
[Kho Tong Ha Noi] Lai Xe Hang Nhe,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,8.5
[Vung Liem - Vinh Long] - Quan Ly Cua Hang Tai FPT Shop,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Vinh Long,15.0
Nhan Vien Logistic,Cong Ty Co Phan San Xuat Dich Vu Xuat Nhap Khau Ha Noi,TP HCM,11.0
[Vung Liem - Vinh Long] Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Vinh Long,9.5
[Thanh Binh - Dong Thap] Nhan Vien Tu van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Dong Thap,9.5
PHO PHONG QA,Cong Ty Co phan San Xuat Dich Vu Xuat Nhap Khau Ha Noi - CN Binh Duong,Binh Duong,13.5
[Thanh Binh - Dong Thap] Quan Ly Cua Hang Tai FPT Shop,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Dong Thap,15.0
[Ham Thuan Nam - Binh Thuan] - Nhan Vien Tu Van Ban Hang,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Binh Thuan,9.5
"GIAM SAT KHO (KCN TRANG DUE, HAI PHONG)",Cong Ty TNHH DV An Uong Ba Sao,Hai Phong,10.0
[KHAI TRUONG SHOP MOI TAN BINH - HO CHI MINH] NHAN VIEN TU VAN BAN HANG,Cong Ty Co Phan Ban Le Ky Thuat So FPT,TP HCM,9.5
[Nga Tu Co Nhue - Q.Bac Tu Liem - Ha Noi] Nhan Vien Bao Ve Noi Bo,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,6.0
Chuyen Vien Tu Van Du Lich Singapore Tu Tuc,CTY DU LICH KETNOISINGAPORE.COM,TP HCM,14.0
[Kim Ma - Q.Ba Dinh - Ha Noi] Nhan Vien Bao Ve Noi Bo,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,6.0
[Nga Tu Kim Giang - Q.Hoang Mai - Ha Noi] Nhan Vien Bao Ve Noi Bo,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,6.0
[Ngoc Hoi - H.Thanh Tri - Ha Noi] Nhan Vien Bao Ve Noi Bo,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,6.0
[Minh Khai - Hai Ba Trung - Ha Noi] Nhan Vien Bao Ve Noi Bo,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,6.0
[Tran Nhat Duat - Hoan Kiem - Ha Noi] Nhan Vien Tu Van Ban Hang DTDD/Laptop,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,10.0
[Cho Buoi - Tay Ho - Ha Noi]  Nhan Vien Tu Van Ban Hang DTDD/Laptop,Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,11.5
"GIAM SAT THIET BI DIEN, NUOC, GAS, MAY TINH...",Cong Ty TNHH DV An Uong Ba Sao,Hai Phong,11.5
CHUYEN VIEN TAI CHINH TAP DOAN (LUONG 15-25TR LAM TAI 169 BUI THI XUAN HA NOI),Tap Doan Thanh Hang,Ha Noi,20.0
TRO LY TONG GIAM DOC- 12-17TR,Cong Ty TNHH Phat Trien Xay Dung Viet Nam Kien Hung,Binh Duong,14.5
TRUONG NHOM KINH DOANH QUOC TE (HA NOI),Cong Ty Co Phan Hai Bon Bay,Ha Noi,20.0
Nhan Vien Tu Van Ban Hang DTDD/Laptop [Tran Quoc Hoan - Cau Giay - Ha Noi],Cong Ty Co Phan Ban Le Ky Thuat So FPT,Ha Noi,11.5
NHAN VIEN KINH DOANH KHU VUC (MIEN TAY),Cong Ty Co Phan Hai Bon Bay,TP HCM,14.0
